"Potential, V","Current, A"
-0.301,-6.14715e-06
-0.302,-6.12211e-06
-0.303,-6.09707e-06
-0.304,-6.07102e-06
-0.305,-6.04698e-06
-0.306,-6.02294e-06
-0.307,-5.99989e-06
-0.308,-5.97685e-06
-0.309,-5.95181e-06
-0.31,-5.92976e-06
-0.311,-5.90772e-06
-0.312,-5.88468e-06
-0.313,-5.86363e-06
-0.314,-5.84259e-06
-0.315,-5.82055e-06
-0.316,-5.8005e-06
-0.317,-5.77946e-06
-0.318,-5.75942e-06
-0.319,-5.73937e-06
-0.32,-5.71933e-06
-0.321,-5.70029e-06
-0.322,-5.68024e-06
-0.323,-5.6612e-06
-0.324,-5.64416e-06
-0.325,-5.62412e-06
-0.326,-5.60707e-06
-0.327,-5.59003e-06
-0.328,-5.57099e-06
-0.329,-5.55494e-06
-0.33,-5.5379e-06
-0.331,-5.52186e-06
-0.332,-5.50581e-06
-0.333,-5.48877e-06
-0.334,-5.47273e-06
-0.335,-5.45768e-06
-0.336,-5.44164e-06
-0.337,-5.4266e-06
-0.338,-5.41155e-06
-0.339,-5.39751e-06
-0.34,-5.38247e-06
-0.341,-5.36742e-06
-0.342,-5.35338e-06
-0.343,-5.34034e-06
-0.344,-5.32529e-06
-0.345,-5.31225e-06
-0.346,-5.29921e-06
-0.347,-5.28516e-06
-0.348,-5.27312e-06
-0.349,-5.26008e-06
-0.35,-5.24803e-06
-0.351,-5.23599e-06
-0.352,-5.22295e-06
-0.353,-5.2119e-06
-0.354,-5.19986e-06
-0.355,-5.18782e-06
-0.356,-5.17677e-06
-0.357,-5.16473e-06
-0.358,-5.15369e-06
-0.359,-5.14364e-06
-0.36,-5.1326e-06
-0.361,-5.12256e-06
-0.362,-5.11152e-06
-0.363,-5.10147e-06
-0.364,-5.09143e-06
-0.365,-5.08139e-06
-0.366,-5.07234e-06
-0.367,-5.0633e-06
-0.368,-5.05326e-06
-0.369,-5.04421e-06
-0.37,-5.03417e-06
-0.371,-5.02613e-06
-0.372,-5.01708e-06
-0.373,-5.00704e-06
-0.374,-4.999e-06
-0.375,-4.99095e-06
-0.376,-4.98191e-06
-0.377,-4.97487e-06
-0.378,-4.96582e-06
-0.379,-4.95778e-06
-0.38,-4.95074e-06
-0.381,-4.94169e-06
-0.382,-4.93465e-06
-0.383,-4.92761e-06
-0.384,-4.91956e-06
-0.385,-4.91252e-06
-0.386,-4.90448e-06
-0.387,-4.89743e-06
-0.388,-4.89039e-06
-0.389,-4.88235e-06
-0.39,-4.8763e-06
-0.391,-4.86926e-06
-0.392,-4.86222e-06
-0.393,-4.85617e-06
-0.394,-4.84913e-06
-0.395,-4.84209e-06
-0.396,-4.83604e-06
-0.397,-4.829e-06
-0.398,-4.82296e-06
-0.399,-4.81692e-06
-0.4,-4.80987e-06
-0.401,-4.80483e-06
-0.402,-4.79879e-06
-0.403,-4.79174e-06
-0.404,-4.7867e-06
-0.405,-4.77966e-06
-0.406,-4.77461e-06
-0.407,-4.76857e-06
-0.408,-4.76253e-06
-0.409,-4.75748e-06
-0.41,-4.75144e-06
-0.411,-4.7454e-06
-0.412,-4.74035e-06
-0.413,-4.73431e-06
-0.414,-4.72927e-06
-0.415,-4.72422e-06
-0.416,-4.71818e-06
-0.417,-4.71314e-06
-0.418,-4.70709e-06
-0.419,-4.70205e-06
-0.42,-4.69701e-06
-0.421,-4.69096e-06
-0.422,-4.68692e-06
-0.423,-4.68188e-06
-0.424,-4.67583e-06
-0.425,-4.67179e-06
-0.426,-4.66575e-06
-0.427,-4.6607e-06
-0.428,-4.65666e-06
-0.429,-4.65062e-06
-0.43,-4.64557e-06
-0.431,-4.64153e-06
-0.432,-4.63549e-06
-0.433,-4.63144e-06
-0.434,-4.6264e-06
-0.435,-4.62136e-06
-0.436,-4.61632e-06
-0.437,-4.61127e-06
-0.438,-4.60623e-06
-0.439,-4.60119e-06
-0.44,-4.59614e-06
-0.441,-4.5921e-06
-0.442,-4.58706e-06
-0.443,-4.58201e-06
-0.444,-4.57797e-06
-0.445,-4.57293e-06
-0.446,-4.56788e-06
-0.447,-4.56284e-06
-0.448,-4.5578e-06
-0.449,-4.55375e-06
-0.45,-4.54871e-06
-0.451,-4.54367e-06
-0.452,-4.53962e-06
-0.453,-4.53458e-06
-0.454,-4.52954e-06
-0.455,-4.52549e-06
-0.456,-4.52045e-06
-0.457,-4.51541e-06
-0.458,-4.51036e-06
-0.459,-4.50532e-06
-0.46,-4.50128e-06
-0.461,-4.49623e-06
-0.462,-4.49219e-06
-0.463,-4.48715e-06
-0.464,-4.4821e-06
-0.465,-4.47806e-06
-0.466,-4.47302e-06
-0.467,-4.46797e-06
-0.468,-4.46393e-06
-0.469,-4.45889e-06
-0.47,-4.45484e-06
-0.471,-4.4498e-06
-0.472,-4.44476e-06
-0.473,-4.44072e-06
-0.474,-4.43567e-06
-0.475,-4.43063e-06
-0.476,-4.42659e-06
-0.477,-4.42154e-06
-0.478,-4.4175e-06
-0.479,-4.41246e-06
-0.48,-4.40841e-06
-0.481,-4.40337e-06
-0.482,-4.39833e-06
-0.483,-4.39428e-06
-0.484,-4.39024e-06
-0.485,-4.3852e-06
-0.486,-4.38015e-06
-0.487,-4.37611e-06
-0.488,-4.37107e-06
-0.489,-4.36702e-06
-0.49,-4.36198e-06
-0.491,-4.35794e-06
-0.492,-4.35389e-06
-0.493,-4.34885e-06
-0.494,-4.34481e-06
-0.495,-4.34076e-06
-0.496,-4.33572e-06
-0.497,-4.33068e-06
-0.498,-4.32663e-06
-0.499,-4.32259e-06
-0.5,-4.31855e-06
-0.501,-4.3135e-06
-0.502,-4.30946e-06
-0.503,-4.30442e-06
-0.504,-4.30037e-06
-0.505,-4.29633e-06
-0.506,-4.29229e-06
-0.507,-4.28724e-06
-0.508,-4.2842e-06
-0.509,-4.27916e-06
-0.51,-4.27512e-06
-0.511,-4.27107e-06
-0.512,-4.26703e-06
-0.513,-4.26299e-06
-0.514,-4.25894e-06
-0.515,-4.2539e-06
-0.516,-4.25086e-06
-0.517,-4.24581e-06
-0.518,-4.24177e-06
-0.519,-4.23773e-06
-0.52,-4.23368e-06
-0.521,-4.22964e-06
-0.522,-4.2256e-06
-0.523,-4.22155e-06
-0.524,-4.21851e-06
-0.525,-4.21347e-06
-0.526,-4.20942e-06
-0.527,-4.20638e-06
-0.528,-4.20234e-06
-0.529,-4.19829e-06
-0.53,-4.19425e-06
-0.531,-4.19021e-06
-0.532,-4.18716e-06
-0.533,-4.18212e-06
-0.534,-4.17908e-06
-0.535,-4.17503e-06
-0.536,-4.17099e-06
-0.537,-4.16795e-06
-0.538,-4.1639e-06
-0.539,-4.15986e-06
-0.54,-4.15682e-06
-0.541,-4.15277e-06
-0.542,-4.14873e-06
-0.543,-4.14569e-06
-0.544,-4.14164e-06
-0.545,-4.1386e-06
-0.546,-4.13456e-06
-0.547,-4.13052e-06
-0.548,-4.12847e-06
-0.549,-4.12343e-06
-0.55,-4.12039e-06
-0.551,-4.11734e-06
-0.552,-4.1133e-06
-0.553,-4.11026e-06
-0.554,-4.10721e-06
-0.555,-4.10317e-06
-0.556,-4.10013e-06
-0.557,-4.09708e-06
-0.558,-4.09304e-06
-0.559,-4.09e-06
-0.56,-4.08695e-06
-0.561,-4.08391e-06
-0.562,-4.08087e-06
-0.563,-4.07782e-06
-0.564,-4.07478e-06
-0.565,-4.07074e-06
-0.566,-4.06869e-06
-0.567,-4.06565e-06
-0.568,-4.06261e-06
-0.569,-4.05956e-06
-0.57,-4.05652e-06
-0.571,-4.05348e-06
-0.572,-4.05043e-06
-0.573,-4.04739e-06
-0.574,-4.04435e-06
-0.575,-4.0413e-06
-0.576,-4.03826e-06
-0.577,-4.03622e-06
-0.578,-4.03217e-06
-0.579,-4.03013e-06
-0.58,-4.02709e-06
-0.581,-4.02404e-06
-0.582,-4.021e-06
-0.583,-4.01896e-06
-0.584,-4.01592e-06
-0.585,-4.01287e-06
-0.586,-4.01083e-06
-0.587,-4.00779e-06
-0.588,-4.00574e-06
-0.589,-4.0017e-06
-0.59,-3.99966e-06
-0.591,-3.99761e-06
-0.592,-3.99457e-06
-0.593,-3.99253e-06
-0.594,-3.98948e-06
-0.595,-3.98644e-06
-0.596,-3.9844e-06
-0.597,-3.98135e-06
-0.598,-3.97931e-06
-0.599,-3.97727e-06
-0.6,-3.89822e-06
-0.599,-3.80327e-06
-0.598,-3.76731e-06
-0.597,-3.74035e-06
-0.596,-3.7154e-06
-0.595,-3.69444e-06
-0.594,-3.67548e-06
-0.593,-3.65753e-06
-0.592,-3.64057e-06
-0.591,-3.62461e-06
-0.59,-3.60966e-06
-0.589,-3.5957e-06
-0.588,-3.58074e-06
-0.587,-3.56879e-06
-0.586,-3.55583e-06
-0.585,-3.54287e-06
-0.584,-3.53192e-06
-0.583,-3.51996e-06
-0.582,-3.508e-06
-0.581,-3.49804e-06
-0.58,-3.48709e-06
-0.579,-3.47713e-06
-0.578,-3.46717e-06
-0.577,-3.45722e-06
